time_sec,mission_state,event
0.0,UNKNOWN,timestamp=0.000 mission_id=0 target_mission_id=0 state=IDLE event_type=MISSION_COMMAND reason=START_PATROL waypoint_index=0
0.0,UNKNOWN,timestamp=0.000 mission_id=0 target_mission_id=0 state=IDLE event_type=MODE_CHANGE reason=previous=STANDBY next=AUTO reason=START_PATROL waypoint_index=0
0.0,UNKNOWN,timestamp=0.000 mission_id=0 target_mission_id=0 state=IDLE event_type=MISSION_RESET reason=operator_reset_pulse waypoint_index=0
1.9000000000000001,IDLE mode=AUTO nav_goal=NONE,STATE
1.9000000000000001,IDLE mode=AUTO nav_goal=NONE,timestamp=1.900 mission_id=0 target_mission_id=0 state=PATROL_NAVIGATING event_type=STATE_CHANGE reason=previous=IDLE next=PATROL_NAVIGATING reason=goal_type=PATROL waypoint_index=0
1.9000000000000001,IDLE mode=AUTO nav_goal=NONE,timestamp=1.900 mission_id=0 target_mission_id=0 state=PATROL_NAVIGATING event_type=NAV2_DISABLED_SIMULATED_GOAL reason=PATROL waypoint_index=0
2.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
2.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
2.4000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
2.6,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
2.8000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
3.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
3.4000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
3.6,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
3.8000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
4.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
4.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
4.4,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
4.6000000000000005,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
4.800000000000001,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
5.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
5.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
5.300000000000001,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
5.6000000000000005,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,STATE
5.6000000000000005,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,timestamp=5.600 mission_id=0 target_mission_id=1 state=PATROL_NAVIGATING event_type=INTERRUPT_PATROL_FOR_LIDAR_TARGET reason=target_id=1 waypoint_index=0 waypoint_index=0
5.6000000000000005,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,timestamp=5.600 mission_id=0 target_mission_id=1 state=INSPECTION_GOAL_GENERATED event_type=STATE_CHANGE reason=previous=PATROL_NAVIGATING next=INSPECTION_GOAL_GENERATED reason=lidar_first_inspection_goal waypoint_index=0
5.6000000000000005,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,timestamp=5.600 mission_id=0 target_mission_id=1 state=APPROACH_TARGET_OFFSET event_type=STATE_CHANGE reason=previous=INSPECTION_GOAL_GENERATED next=APPROACH_TARGET_OFFSET reason=goal_type=TARGET_INSPECTION waypoint_index=0
5.6000000000000005,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,timestamp=5.600 mission_id=0 target_mission_id=1 state=APPROACH_TARGET_OFFSET event_type=NAV2_DISABLED_SIMULATED_GOAL reason=TARGET_INSPECTION waypoint_index=0
5.800000000000001,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
6.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
6.2,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
6.4,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
6.6000000000000005,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
6.800000000000001,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
7.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,STATE
